"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"LABEL";"LCSC_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SKU";"SPICEPREFIX";
"C24";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C25";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C26";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C27";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C28";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C29";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C30";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C31";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C32";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C33";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C34";"10uf";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"C19702";"";"";"";"";"";"";"37";"";"";"";"";"C";
"D1";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D3";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D4";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D5";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D6";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D7";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D8";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D9";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D10";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D11";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D12";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D13";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D14";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D15";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D16";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D17";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D18";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D19";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D20";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D21";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D22";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D23";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D24";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D25";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D26";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D27";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D28";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D29";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D30";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D31";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D32";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D33";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D34";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D35";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D36";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D37";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D38";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D39";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D40";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D41";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D42";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D43";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D44";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D45";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D46";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D47";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D48";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D49";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D50";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D51";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D52";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D53";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D54";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D55";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D56";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D57";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D58";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D59";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D60";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D61";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D62";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D63";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D64";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D65";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D66";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D67";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D68";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D69";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D70";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D71";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D72";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D73";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D74";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D75";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D76";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D77";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D78";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D79";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D80";"";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"GAME_INTERFACE";"B12B-PH-K";"B12B-PH-K";"B12B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"H1";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";
"H2";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";
"H3";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";
"H4";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";
"IC1";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC2";"LD117AS12TR";"LD117AS12TR";"SOT223";"Low drop fixed and adjustable positive voltage regulators 1 A";"";"";"";"C6187";"";"";"";"";"";"";"0";"0.5";"";"";"";"";
"IC3";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC4";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC5";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC6";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC7";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC8";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC9";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC10";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC11";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC12";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC13";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC14";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC15";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC16";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC17";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC18";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC19";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC20";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"IC21";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";"MAXIM";"";"MAX481CSA";"unknown";"90C3817";"";"4";"";"";"";"";"";
"J1";"";"CONN_02JST-PTH-2";"JST-2-PTH";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-09863";"";"PRT-09914";"";
"JTAG";"";"PINHD-1X5/90";"1X05/90";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"9";"";"";"";"";"";
"NEBULA_A";"MCP23017-E/SO";"MCP23017-E/SO";"SOIC127P1030X265-28N";"MCP23017 Series 5.5 V 1.7 MHz SMT 16-Bit I2C I/O Expander - SOIC-28 Check availability";"In Stock";" I/O Expander 16 I²C 1.7 MHz 28-SOIC ";"";"";"Microchip";"MCP23017-E/SO";"";"";"";"SOIC-28 Microchip";"";"None";"";"https://pricing.snapeda.com/search/part/MCP23017-E/SO/?ref=eda";"";"";
"NEBULA_B";"MCP23017-E/SO";"MCP23017-E/SO";"SOIC127P1030X265-28N";"MCP23017 Series 5.5 V 1.7 MHz SMT 16-Bit I2C I/O Expander - SOIC-28 Check availability";"In Stock";" I/O Expander 16 I²C 1.7 MHz 28-SOIC ";"";"";"Microchip";"MCP23017-E/SO";"";"";"";"SOIC-28 Microchip";"";"None";"";"https://pricing.snapeda.com/search/part/MCP23017-E/SO/?ref=eda";"";"";
"NEBULA_C";"MCP23017-E/SO";"MCP23017-E/SO";"SOIC127P1030X265-28N";"MCP23017 Series 5.5 V 1.7 MHz SMT 16-Bit I2C I/O Expander - SOIC-28 Check availability";"In Stock";" I/O Expander 16 I²C 1.7 MHz 28-SOIC ";"";"";"Microchip";"MCP23017-E/SO";"";"";"";"SOIC-28 Microchip";"";"None";"";"https://pricing.snapeda.com/search/part/MCP23017-E/SO/?ref=eda";"";"";
"NEBULA_D";"MCP23017-E/SO";"MCP23017-E/SO";"SOIC127P1030X265-28N";"MCP23017 Series 5.5 V 1.7 MHz SMT 16-Bit I2C I/O Expander - SOIC-28 Check availability";"In Stock";" I/O Expander 16 I²C 1.7 MHz 28-SOIC ";"";"";"Microchip";"MCP23017-E/SO";"";"";"";"SOIC-28 Microchip";"";"None";"";"https://pricing.snapeda.com/search/part/MCP23017-E/SO/?ref=eda";"";"";
"NEBULA_E";"MCP23017-E/SO";"MCP23017-E/SO";"SOIC127P1030X265-28N";"MCP23017 Series 5.5 V 1.7 MHz SMT 16-Bit I2C I/O Expander - SOIC-28 Check availability";"In Stock";" I/O Expander 16 I²C 1.7 MHz 28-SOIC ";"";"";"Microchip";"MCP23017-E/SO";"";"";"";"SOIC-28 Microchip";"";"None";"";"https://pricing.snapeda.com/search/part/MCP23017-E/SO/?ref=eda";"";"";
"NEBULA_F";"MCP23017-E/SO";"MCP23017-E/SO";"SOIC127P1030X265-28N";"MCP23017 Series 5.5 V 1.7 MHz SMT 16-Bit I2C I/O Expander - SOIC-28 Check availability";"In Stock";" I/O Expander 16 I²C 1.7 MHz 28-SOIC ";"";"";"Microchip";"MCP23017-E/SO";"";"";"";"SOIC-28 Microchip";"";"None";"";"https://pricing.snapeda.com/search/part/MCP23017-E/SO/?ref=eda";"";"";
"NEBULA_G";"MCP23017-E/SO";"MCP23017-E/SO";"SOIC127P1030X265-28N";"MCP23017 Series 5.5 V 1.7 MHz SMT 16-Bit I2C I/O Expander - SOIC-28 Check availability";"In Stock";" I/O Expander 16 I²C 1.7 MHz 28-SOIC ";"";"";"Microchip";"MCP23017-E/SO";"";"";"";"SOIC-28 Microchip";"";"None";"";"https://pricing.snapeda.com/search/part/MCP23017-E/SO/?ref=eda";"";"";
"NEBULA_H";"MCP23017-E/SO";"MCP23017-E/SO";"SOIC127P1030X265-28N";"MCP23017 Series 5.5 V 1.7 MHz SMT 16-Bit I2C I/O Expander - SOIC-28 Check availability";"In Stock";" I/O Expander 16 I²C 1.7 MHz 28-SOIC ";"";"";"Microchip";"MCP23017-E/SO";"";"";"";"SOIC-28 Microchip";"";"None";"";"https://pricing.snapeda.com/search/part/MCP23017-E/SO/?ref=eda";"";"";
"POWER_IN";"MKDSN1,5/4-5,08";"MKDSN1,5/4-5,08";"MKDSN1,5/4-5,08";"MKDSN 1,5/ 4-5,08 Printklemme";"";"";"";"";"";"";"";"";"";"";"5";"";"";"";"";"";
"R1";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25803";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R2";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R3";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R4";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R5";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R6";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R7";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R8";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R9";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R10";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R11";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R12";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R13";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R14";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R15";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R16";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R17";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R18";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R19";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R20";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R21";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R22";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R23";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
